grafana-1  | logger=migrator t=2025-06-25T22:04:34.602172388Z level=debug msg="Skipping migration: Already executed" id="create dashboard_snapshot table v5 #2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602173925Z level=debug msg="Skipping migration: Already executed" id="create index UQE_dashboard_snapshot_key - v5"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602175729Z level=debug msg="Skipping migration: Already executed" id="create index UQE_dashboard_snapshot_delete_key - v5"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602179099Z level=debug msg="Skipping migration: Already executed" id="create index IDX_dashboard_snapshot_user_id - v5"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602189505Z level=debug msg="Skipping migration: Already executed" id="alter dashboard_snapshot to mediumtext v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602206775Z level=debug msg="Skipping migration: Already executed" id="Update dashboard_snapshot table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602209617Z level=debug msg="Skipping migration: Already executed" id="Add column external_delete_url to dashboard_snapshots table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602212027Z level=debug msg="Skipping migration: Already executed" id="Add encrypted dashboard json column"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60221407Z level=debug msg="Skipping migration: Already executed" id="Change dashboard_encrypted column to MEDIUMBLOB"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602215949Z level=debug msg="Skipping migration: Already executed" id="create quota table v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602217697Z level=debug msg="Skipping migration: Already executed" id="create index UQE_quota_org_id_user_id_target - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60221962Z level=debug msg="Skipping migration: Already executed" id="Update quota table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602221177Z level=debug msg="Skipping migration: Already executed" id="create plugin_setting table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602223047Z level=debug msg="Skipping migration: Already executed" id="create index UQE_plugin_setting_org_id_plugin_id - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602224688Z level=debug msg="Skipping migration: Already executed" id="Add column plugin_version to plugin_settings"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602227364Z level=debug msg="Skipping migration: Already executed" id="Update plugin_setting table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602237067Z level=debug msg="Skipping migration: Already executed" id="create session table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602239481Z level=debug msg="Skipping migration: Already executed" id="Drop old table playlist table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602241942Z level=debug msg="Skipping migration: Already executed" id="Drop old table playlist_item table"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602244284Z level=debug msg="Skipping migration: Already executed" id="create playlist table v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60224588Z level=debug msg="Skipping migration: Already executed" id="create playlist item table v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602247976Z level=debug msg="Skipping migration: Already executed" id="Update playlist table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602249626Z level=debug msg="Skipping migration: Already executed" id="Update playlist_item table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602253709Z level=debug msg="Skipping migration: Already executed" id="drop preferences table v2"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60225537Z level=debug msg="Skipping migration: Already executed" id="drop preferences table v3"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60225719Z level=debug msg="Skipping migration: Already executed" id="create preferences table v3"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602258702Z level=debug msg="Skipping migration: Already executed" id="Update preferences table charset"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602261644Z level=debug msg="Skipping migration: Already executed" id="Add column team_id in preferences"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602263342Z level=debug msg="Skipping migration: Already executed" id="Update team_id column values in preferences"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602264846Z level=debug msg="Skipping migration: Already executed" id="Add column week_start in preferences"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602266234Z level=debug msg="Skipping migration: Already executed" id="Add column preferences.json_data"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602267666Z level=debug msg="Skipping migration: Already executed" id="alter preferences.json_data to mediumtext v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602269219Z level=debug msg="Skipping migration: Already executed" id="Add preferences index org_id"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602270985Z level=debug msg="Skipping migration: Already executed" id="Add preferences index user_id"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602275732Z level=debug msg="Skipping migration: Already executed" id="create alert table v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602285372Z level=debug msg="Skipping migration: Already executed" id="add index alert org_id & id "
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602287748Z level=debug msg="Skipping migration: Already executed" id="add index alert state"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602289803Z level=debug msg="Skipping migration: Already executed" id="add index alert dashboard_id"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602291861Z level=debug msg="Skipping migration: Already executed" id="Create alert_rule_tag table v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602294031Z level=debug msg="Skipping migration: Already executed" id="Add unique index alert_rule_tag.alert_id_tag_id"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.60229561Z level=debug msg="Skipping migration: Already executed" id="drop index UQE_alert_rule_tag_alert_id_tag_id - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602297436Z level=debug msg="Skipping migration: Already executed" id="Rename table alert_rule_tag to alert_rule_tag_v1 - v1"
grafana-1  | logger=migrator t=2025-06-25T22:04:34.602300255Z level=debug msg="Skipping migration: Already executed" id="Create alert_rule_tag table v2"
